序号,id,项目名称,网址,zbkzj,下浮率,kbjj,投标单位数量,city,province
109,A3311011160012770,丽水日报印刷厂改造工程,http://lssggzy.lishui.gov.cn/art/2023/4/14/art_1229661812_202506.html,4717355,9.8,4255054.21,85,丽水市,安徽省
110,A3311011160012796,青田县油竹侨乡外贸产业园基础设施新建工程,http://lssggzy.lishui.gov.cn/art/2023/4/14/art_1229661956_202486.html,45396007.37,7.6,41945910.81,93,丽水市,安徽省
111,A3311011160012755,龙泉市江滨南岸（南秦桥至橡皮坝）文旅长廊建设工程,http://lssggzy.lishui.gov.cn/art/2023/4/14/art_1229661923_202430.html,4573349.005,8.5,4184614.34,96,丽水市,安徽省
112,A3311011160012761,衢丽铁路莲都段丽新乡咸宜安置点项目（基础设施部分）—场地平整,http://lssggzy.lishui.gov.cn/art/2023/4/13/art_1229661852_202346.html,3949975.005,6.9,3677426.73,140,丽水市,安徽省
113,A3311011160012789,丽水经济技术开发区东扩北部区块管网综合改造工程施工,http://lssggzy.lishui.gov.cn/art/2023/4/13/art_1229661812_202396.html,63503414,11.2,56391031.63,191,丽水市,安徽省
114,A3311011160012786,37套人才公寓装修工程（红云苑、采荷文苑）,http://lssggzy.lishui.gov.cn/art/2023/4/13/art_1229661812_202199.html,6451735,11.6,5703333.74,196,丽水市,安徽省
115,A3311011160012722,青田县海口镇幼儿园新建工程,http://lssggzy.lishui.gov.cn/art/2023/4/13/art_1229661956_202354.html,27963754.81,4.1,26817240.86,261,丽水市,安徽省
116,A3311011160012778,青田县仁宫至桃坳等农村公路路面工程,http://lssggzy.lishui.gov.cn/art/2023/4/12/art_1229661956_202048.html,6073750.347,2,5952275.34,13,丽水市,安徽省
117,A3311011160012779,青田县石前-周岙等农村公路路面 工程,http://lssggzy.lishui.gov.cn/art/2023/4/12/art_1229661956_202197.html,14930058.28,3,14482156.53,15,丽水市,安徽省
118,A3311011160012774,遂昌县后江区块支路工程,http://lssggzy.lishui.gov.cn/art/2023/4/11/art_1229662124_202139.html,6716759.041,11.4,5951048.51,263,丽水市,安徽省
119,A3311011160012225,勿忘农种业遂昌仓储中心项目,http://lssggzy.lishui.gov.cn/art/2023/4/11/art_1229662124_188284.html,36358509.01,5.5,34358791.01,190,丽水市,安徽省
120,A3311011160012785,石塘镇大搬快聚安置小区—附属配套给水与弱电（通讯）工程,http://lssggzy.lishui.gov.cn/art/2023/4/11/art_1229661989_202161.html,3606077.245,15.8,3036317.04,58,丽水市,安徽省
121,A3311011160012498,青田生态工业平台船寮上叶田区块建设项目基础设施新建工程（一期）,http://lssggzy.lishui.gov.cn/art/2023/4/11/art_1229661956_202101.html,15339977.42,10.5,13729279.79,73,丽水市,安徽省
122,A3311011160012545,松阳县赤寿生态工业区块二期第一阶段开发项目场平工程,http://lssggzy.lishui.gov.cn/art/2023/4/7/art_1229662157_201774.html,336564706,11.5,297859764.8,80,丽水市,安徽省
123,A3311011160012692,丽水市交通运输局新办公场所修缮改造工程,http://lssggzy.lishui.gov.cn/art/2023/4/7/art_1229661812_201781.html,6761189.005,6.5,6321711.72,113,丽水市,安徽省
124,A3311011160012777,九龙山地质景观旅游基础设施建设项目,http://lssggzy.lishui.gov.cn/art/2023/4/7/art_1229662190_201855.html,6318810.635,10.2,5674291.95,144,丽水市,安徽省
125,A3311011160012769,景宁县公安局鹤溪派出所技术业务用房建设项目-二期装修工程,http://lssggzy.lishui.gov.cn/art/2023/4/4/art_1229662190_201598.html,7378226.304,9.9,6647781.9,47,丽水市,安徽省
126,A3311011160012747,松阳县2023年“四好农村路”提升工程（养护工程）,http://lssggzy.lishui.gov.cn/art/2023/4/4/art_1229662157_201613.html,31226537.13,2,30602006.39,5,丽水市,安徽省
127,A3311011160012636,松阳县经开区赤寿基础设施提升工程一期,http://lssggzy.lishui.gov.cn/art/2023/4/4/art_1229662157_201424.html,17139500,10.7,15305573.5,259,丽水市,安徽省
128,A3311011160012615,梯田创5A-通景公路沿线风貌提升整治工程,http://lssggzy.lishui.gov.cn/art/2023/4/4/art_1229661989_201632.html,21922894.65,3,21265207.81,94,丽水市,安徽省
129,A3311011160011461,丽水南城东扩景观绿化工程-绿源路、通济街（胡七渠-秀山路）南侧等节点景观绿化工程,http://lssggzy.lishui.gov.cn/art/2023/4/3/art_1229661812_201266.html,21413724,9.8,19315179.05,392,丽水市,安徽省
130,A3311011160012649,三枝树村综合业务用房项目,http://lssggzy.lishui.gov.cn/art/2023/4/3/art_1229662190_201350.html,16327736.71,6.7,15233778.35,122,丽水市,安徽省
131,A3311011160012724,碧湖镇垃圾中转站项目,http://lssggzy.lishui.gov.cn/art/2023/3/31/art_1229661852_201065.html,9211444.828,6.8,8585066.58,179,丽水市,安徽省
132,A3311011160012741,遂昌县仙侠湖珠村畈配套基础设施工程,http://lssggzy.lishui.gov.cn/art/2023/3/29/art_1229662124_200664.html,14119749.54,12.3,12383020.35,369,丽水市,安徽省
133,A3311011160012708,云和县城南污水管网优化工程（文体中心区块）,http://lssggzy.lishui.gov.cn/art/2023/3/29/art_1229661989_199927.html,6059042.439,14.3,5192599.37,206,丽水市,安徽省
